app_id,app_name,contacts,sms,microphone,location,photos_media_storage,disclosure_score,review_redflag_score,total_reviews,redflag_reviews,avg_review_sentiment,pct_strongly_negative_reviews,avg_review_length,install_count,composite_review_risk,label
com.privo.creditsaison,Credit Saison India: Loan App,0,1,0,1,1,5,0.043,47.0,2.0,-0.25811063829787234,0.46808510638297873,45.744680851063826,1000000,0.5453422224790085,1
in.groww.dash,Groww Credit: Instant Loan App,0,0,0,1,1,4,0.08,50.0,4.0,0.16042,0.24,32.0,1000000,0.5847878514768764,1
com.moneyclub.android,Money Club: P2P group savings,1,0,0,0,0,2,0.04,50.0,2.0,0.29579,0.2,34.52,500000,0.5423939282384382,1
com.pocketly,Pocketly Instant Personal Loan,0,1,0,1,0,5,0.06,50.0,3.0,0.370418,0.18,75.88,10000000,0.5589658898114074,1
com.vizzve_micro_seva,Vizzve instant loan app,1,0,1,0,1,4,0.0,50.0,0.0,0.625962,0.04,40.88,500000,0.49975000499750005,1
com.innofinsolutions.instamoney,InstaMoney Personal Loan App,1,0,0,1,1,5,0.1,50.0,5.0,-0.562376,0.7,73.18,10000000,0.6016098130523455,1
com.smartfinancial.mobilebanking,Smart Financial Mobile App,1,0,0,0,0,1,0.0,50.0,0.0,0.47457,0.08,33.48,50000,0.49997500499975006,1
com.moneymanager.personal.finance.planner,Loan Master Plan: Manage Money,0,0,0,0,0,1,0.024,41.0,1.0,0.18169268292682927,0.07317073170731707,7.439024390243903,500000,0.525336358942063,1
com.app.walletinsta,Insta Wallet,0,0,0,0,0,1,0.0,21.0,0.0,0.4770285714285714,0.0,3.3333333333333335,1000,0.49999950499999507,1
cashloan.lowinterest.eligibility,SmartLoan – Check Eligibility,0,0,0,0,0,2,0.042,48.0,2.0,0.22535208333333334,0.125,8.770833333333334,100000,0.5447261244024851,1
com.enigmnex.smartcashapp,SmartCash,0,0,0,0,0,1,0.0,2.0,0.0,0.85975,0.0,6.0,5000,0.49999750499997503,1
com.analytics.finance.manager.money.app,Daily Loan - Money Tracker,0,0,0,0,0,1,0.0,49.0,0.0,0.3419428571428571,0.02040816326530612,4.959183673469388,500000,0.49975000499750005,1
com.fastbanking,Kissht: Instant Personal Loans,0,0,0,0,0,5,0.0,50.0,0.0,0.902356,0.0,72.6,50000000,0.47500000475000004,1
com.nobroker.loans,InstaCash Loan App by NoBroker,0,1,0,1,0,5,0.0,50.0,0.0,0.621034,0.02,21.02,100000,0.49995000499950004,1
com.quickfund.quickfundmobile,QuickFund Mobile,0,0,0,0,0,1,0.1,10.0,1.0,0.12932000000000002,0.2,12.6,5000,0.6066073131023204,1
com.balancehero.truebalance,True Balance - Loan App & UPI,0,1,1,1,1,4,0.08,50.0,4.0,0.188388,0.28,68.64,50000000,0.5602878512318764,1
com.taplend.india,Taplend: Personal Loan App,0,1,0,1,0,4,0.061,49.0,3.0,0.3700551020408163,0.24489795918367346,53.142857142857146,1000000,0.5645319879374308,1
com.strong.primecash,PrimeCash - Earn Rewards,0,0,0,0,0,1,0.0,13.0,0.0,0.27716153846153846,0.0,12.538461538461538,1000,0.49999950499999507,1
com.esay.fund,Easy Fund,0,0,0,0,0,1,0.0,9.0,0.0,0.25856666666666667,0.0,5.111111111111111,5000,0.49999750499997503,1
com.solution.rupenetpaymentbox,"PayRupe - AEPS,DMT,UPI etc",0,0,0,1,0,2,0.028,36.0,1.0,0.2707833333333334,0.16666666666666666,10.194444444444445,10000,0.5298457512686068,1
com.tapp.swiftb.rupeego,SwiftRupee,0,0,0,0,0,2,0.18,50.0,9.0,0.188152,0.28,42.0,10000,0.6918926595841718,1
com.devaashishcapitals.rot,Rupeeontime – Instant Loan,0,0,0,0,0,5,0.06,50.0,3.0,0.390254,0.18,34.8,1000000,0.5634658898564073,1
com.lendingplate,lendingplate-Personal Loan App,0,0,0,0,0,4,0.04,50.0,2.0,0.46891599999999994,0.16,89.9,10000000,0.5376439281909382,1
com.nextfin,NextFin: Instant loan,0,0,0,0,0,5,0.12,50.0,6.0,0.504432,0.12,63.28,1000000,0.6274317747178145,1
